SOC_CODE,SOC_AVG_PROC,SOC_APP_COUNT
11-1011,8.0,1
11-1011.00,11.55,94
11-1011.03,5.5,2
11-1021,9.0,2
11-1021.00,10.44,329
11-2011.00,8.32,25
11-2021,8.0,1
11-2021.00,9.76,333
11-2022,7.0,1
11-2022.00,11.3,116
11-2032.00,13.3,27
11-2033.00,7.43,7
11-3012.00,7.0,2
11-3021,9.0,4
11-3021.00,10.94,2298
11-3031.00,10.88,219
11-3031.01,13.94,18
11-3031.03,11.7,23
11-3051.00,10.67,129
11-3051.01,11.97,38
11-3061.00,10.68,40
11-3071.00,8.62,37
11-3071.04,11.7,144
11-3121.00,8.54,37
11-3131.00,9.4,15
11-9013.00,10.22,9
11-9021.00,10.58,203
11-9031.00,14.4,10
11-9032.00,11.27,11
11-9033.00,11.21,42
11-9039.00,6.4,5
11-9041,7.0,1
11-9041.00,11.34,408
11-9051,7.0,1
11-9051.00,6.75,4
11-9072.00,5.0,3
11-9081.00,7.33,6
11-9111.00,11.75,72
11-9121.00,10.73,62
11-9121.01,11.96,23
11-9141.00,17.33,3
11-9151.00,10.21,38
11-9179.01,38.0,1
11-9199.00,8.12,16
11-9199.01,11.04,27
11-9199.02,9.78,27
13-1011.00,10.0,1
13-1021.00,8.0,1
13-1022.00,8.4,5
13-1023.00,9.79,28
13-1041.00,7.79,19
13-1041.07,10.79,86
13-1051,7.0,1
13-1051.00,11.03,102
13-1071,7.0,1
13-1071.00,10.74,92
13-1081.00,10.95,183
13-1081.01,10.24,51
13-1081.02,9.84,57
13-1082,38.0,1
13-1082.00,10.14,549
13-1111,12.75,12
13-1111.00,9.92,778
13-1121.00,6.42,19
13-1131.00,6.12,8
13-1141.00,10.8,15
13-1151.00,12.12,41
13-1161,8.0,1
13-1161.00,10.05,531
13-1161.01,14.17,36
13-1199.00,10.12,51
13-1199.04,6.5,4
13-1199.05,8.44,25
13-2011,8.0,1
13-2011.00,11.45,860
13-2031.00,14.53,34
13-2041.00,11.22,40
13-2051,10.0,1
13-2051.00,10.08,1046
13-2052.00,12.33,6
13-2053.00,24.0,2
13-2054,8.0,1
13-2054.00,10.94,191
13-2061.00,10.27,11
13-2071.00,7.0,1
13-2072.00,7.33,3
13-2099.00,6.69,13
13-2099.01,10.56,295
13-2099.04,7.5,6
15-1211,12.75,91
15-1211.00,10.73,1564
15-1211.01,8.09,11
15-1211.09,8.0,1
15-1212,15.75,4
15-1212.00,11.24,567
15-1217,40.0,1
15-1217.00,10.92,13
15-1218.00,7.75,4
15-1221,11.0,1
15-1221.00,10.87,542
15-1231.00,12.07,67
15-1232.00,10.04,25
