WORKSITE_STATE,STATE_AVG_PROC,STATE_MEDIAN_PROC,STATE_APP_COUNT
AK,8.08,7.0,24
AL,12.06,8.0,213
AR,10.24,8.0,455
AZ,11.09,8.0,1285
CA,10.84,8.0,14647
CO,10.87,8.0,786
CT,11.55,8.0,798
DC,12.43,8.0,281
DE,10.5,8.0,427
FL,10.81,8.0,2383
GA,11.12,8.0,2817
GU,10.49,8.0,93
HI,11.45,7.0,42
IA,10.61,8.0,302
ID,9.86,7.0,91
IL,10.9,8.0,3094
IN,10.05,7.0,764
KS,10.52,7.0,265
KY,10.78,8.0,322
LA,11.42,8.0,216
MA,10.95,8.0,2477
MD,10.85,8.0,891
ME,9.18,7.0,49
MI,10.69,8.0,1966
MN,10.93,8.0,752
MO,11.36,8.0,766
MP,10.5,7.0,16
MS,10.89,8.0,90
MT,13.12,7.0,26
NC,11.11,8.0,3161
ND,10.09,8.0,75
NE,11.18,8.0,228
NH,11.52,8.0,243
NJ,10.7,8.0,3553
NM,8.87,8.0,134
NV,10.04,7.0,247
NY,10.72,8.0,5981
OH,11.33,8.0,1634
OK,11.79,8.0,171
OR,11.04,8.0,479
PA,10.73,8.0,2004
PR,8.9,7.0,20
RI,11.49,8.0,230
SC,10.92,8.0,383
SD,12.58,8.0,53
TN,11.05,8.0,820
TX,11.15,8.0,11625
UT,11.68,8.0,396
VA,10.4,8.0,1936
VI,7.0,7.0,1
VT,10.74,7.0,23
WA,10.84,8.0,5431
WI,10.78,8.0,509
WV,10.86,8.0,66
WY,6.0,7.0,13
