Occupation,Count,Avg_Processing,Cert_Rate_%,Avg_Wage
SOFTWARE DEVELOPERS,26381,11.01671657632387,99.02960463970281,145879.32345551724
COMPUTER SYSTEMS ENGINEERS/ARCHITECTS,2911,11.109584335279973,99.14118859498454,110734.67866368944
INFORMATION TECHNOLOGY PROJECT MANAGERS,2906,11.511355815554026,99.27735719201651,138258.04516861666
SOFTWARE QUALITY ASSURANCE ANALYSTS AND TESTERS,2824,11.269475920679886,98.93767705382436,109476.87245396599
DATA SCIENTISTS,2508,10.368819776714513,98.92344497607655,139737.72173444976
COMPUTER AND INFORMATION SYSTEMS MANAGERS,2300,10.939565217391305,99.21739130434783,211011.10537391304
COMPUTER PROGRAMMERS,1828,10.442560175054705,99.07002188183807,95101.28425054705
COMPUTER SYSTEMS ANALYSTS,1656,10.841787439613526,98.30917874396135,111855.1412741546
BUSINESS INTELLIGENCE ANALYSTS,1476,10.420054200542005,98.1029810298103,125230.97449186993
MECHANICAL ENGINEERS,1214,10.657331136738057,97.1169686985173,112961.85456342669
"ELECTRONICS ENGINEERS, EXCEPT COMPUTER",1171,10.362937660119556,99.74380871050384,162816.14561058924
FINANCIAL AND INVESTMENT ANALYSTS,1046,10.084130019120458,97.99235181644359,160719.54933078395
DATABASE ADMINISTRATORS,1013,11.100691016781836,99.50641658440277,121314.05955577492
ELECTRICAL ENGINEERS,939,10.323748668796592,98.29605963791266,136769.4302662407
ACCOUNTANTS AND AUDITORS,861,11.450638792102207,98.49012775842044,110720.67016260163
