Feature,Importance
RECEIVED_MONTH,0.4460771684420992
MONTH_SIN,0.2094088922321942
RECEIVED_QUARTER,0.18324278828514712
MONTH_COS,0.11724525331296297
RECEIVED_DAY_OF_WEEK,0.036459391036941784
EMPLOYER_AVG_PROC,0.005510113361565868
SEASON,0.0010439075976415124
EMPLOYER_APP_COUNT,0.0009329383851370223
NEW_EMPLOYMENT,1.6962741634873344e-05
STATE_APP_COUNT,1.4720365786228455e-05
SOC_AVG_PROC,1.3501735358090487e-05
WAGE_PERCENTILE,1.1936585029691479e-05
CHANGE_EMPLOYER,9.408097784844661e-06
LOG_WAGE,7.996832640278986e-06
EMPLOYMENT_DURATION_DAYS,3.208396364411831e-06
